;id;title;type;genres;averageRating;numVotes;releaseYear
139;tt10534500;#Home;movie;Drama, Family;8.8;15961;2021
140;tt22727518;Another Love;tvSeries;Crime, Drama, Romance;8.8;15142;2023
141;tt9566030;Pew News;tvSeries;Comedy, News;8.8;14793;2018
142;tt0086935;Balkan Spy;movie;Comedy, Drama;8.8;12638;1984
143;tt6108262;Black Sun;tvSeries;Crime, Drama, Thriller;8.8;12607;2017
144;tt13661118;Not Me;tvMiniSeries;Action, Crime, Romance;8.8;12175;2021
145;tt0481256;Fighting Spirit;tvSeries;Action, Animation, Comedy;8.8;11192;2000
146;tt2077886;The Phantom of the Opera at the Royal Albert Hall;movie;Drama, Musical, Romance;8.8;10138;2011
147;tt0816692;Interstellar;movie;Adventure, Drama, Sci-Fi;8.7;2177227;2014
148;tt0133093;The Matrix;movie;Action, Sci-Fi;8.7;2096899;1999
149;tt0080684;Star Wars: Episode V - The Empire Strikes Back;movie;Action, Adventure, Fantasy;8.7;1405978;1980
150;tt4574334;Stranger Things;tvSeries;Drama, Fantasy, Horror;8.7;1384590;2016
151;tt0099685;Goodfellas;movie;Biography, Crime, Drama;8.7;1285380;1990
152;tt0073486;One Flew Over the Cuckoo's Nest;movie;Drama;8.7;1090099;1975
153;tt1190634;The Boys;tvSeries;Action, Comedy, Crime;8.7;729533;2019
154;tt2085059;Black Mirror;tvSeries;Crime, Drama, Mystery;8.7;657956;2011
155;tt3581920;The Last of Us;tvSeries;Action, Adventure, Drama;8.7;572064;2023
156;tt0412142;House;tvSeries;Drama, Mystery;8.7;533752;2004
157;tt2707408;Narcos;tvSeries;Biography, Crime, Drama;8.7;482376;2015
158;tt5753856;Dark;tvSeries;Crime, Drama, Mystery;8.7;463718;2017
159;tt0096697;The Simpsons;tvSeries;Animation, Comedy;8.7;443455;1989
160;tt0121955;South Park;tvSeries;Animation, Comedy;8.7;413055;1997
161;tt0367279;Arrested Development;tvSeries;Comedy;8.7;328888;2003
162;tt0804503;Mad Men;tvSeries;Drama;8.7;266575;2007
163;tt4236770;Yellowstone;tvSeries;Drama, Western;8.7;236275;2018
164;tt1606375;Downton Abbey;tvSeries;Drama, Romance;8.7;229230;2010
165;tt11280740;Severance;tvSeries;Drama, Mystery, Sci-Fi;8.7;224041;2022
166;tt15097216;Jai Bhim;movie;Crime, Drama, Mystery;8.7;220861;2021
167;tt6741278;Invincible;tvSeries;Action, Adventure, Animation;8.7;219698;2021
168;tt5687612;Fleabag;tvSeries;Comedy, Drama;8.7;213179;2016
169;tt4508902;One Punch Man;tvSeries;Action, Animation, Comedy;8.7;192504;2015
170;tt0384766;Rome;tvSeries;Action, Drama, Romance;8.7;189600;2005
171;tt0988824;Naruto: Shippuden;tvSeries;Action, Adventure, Animation;8.7;181063;2007
172;tt0407362;Battlestar Galactica;tvSeries;Action, Adventure, Drama;8.7;178534;2004
173;tt5555260;This Is Us;tvSeries;Comedy, Drama, Romance;8.7;162874;2016
174;tt0248654;Six Feet Under;tvSeries;Comedy, Drama;8.7;153399;2001
175;tt5788792;The Marvelous Mrs. Maisel;tvSeries;Comedy, Drama;8.7;146319;2017
176;tt0092455;Star Trek: The Next Generation;tvSeries;Action, Adventure, Drama;8.7;139611;1987
177;tt1628033;Top Gear;tvSeries;Adventure, Sport, Talk-Show;8.7;129337;2002
178;tt10189514;Soorarai Pottru;movie;Drama;8.7;125779;2020
179;tt13991232;1883;tvMiniSeries;Drama, Western;8.7;123036;2021
180;tt0118421;Oz;tvSeries;Crime, Drama, Thriller;8.7;108940;1997
181;tt9544034;The Family Man;tvSeries;Action, Comedy, Drama;8.7;101203;2019
182;tt0286486;The Shield;tvSeries;Crime, Drama, Thriller;8.7;90130;2002
183;tt5712554;The Grand Tour;tvSeries;Comedy, Sport, Talk-Show;8.7;87481;2016
184;tt0994314;Code Geass;tvSeries;Action, Animation, Drama;8.7;84455;2006
185;tt13309742;Blue Eye Samurai;tvSeries;Action, Adventure, Animation;8.7;78742;2023
186;tt0758745;Friday Night Lights;tvSeries;Drama, Sport;8.7;73847;2006
187;tt2303687;Line of Duty;tvSeries;Crime, Drama, Mystery;8.7;72546;2012
188;tt0387764;Peep Show;tvSeries;Comedy;8.7;68033;2003
189;tt9263550;Rocketry: The Nambi Effect;movie;Biography, Drama;8.7;59728;2022
190;tt0318871;Berserk;tvSeries;Action, Adventure, Animation;8.7;58433;1997
191;tt0434706;Monster;tvSeries;Animation, Crime, Drama;8.7;49720;2004
192;tt10850932;Crash Landing on You;tvSeries;Adventure, Comedy, Drama;8.7;45342;2019
193;tt0111958;Father Ted;tvSeries;Comedy;8.7;44643;1995
194;tt7466810;777 Charlie;movie;Adventure, Comedy, Drama;8.7;41623;2022
195;tt3398540;Haikyu!!;tvSeries;Animation, Comedy, Drama;8.7;39180;2014
196;tt1534360;Ezel;tvSeries;Crime, Drama, Thriller;8.7;38508;2009
197;tt7472896;Mr Inbetween;tvSeries;Crime, Drama;8.7;34402;2018
198;tt0459159;The Thick of It;tvSeries;Comedy;8.7;26755;2005
199;tt0096639;Lonesome Dove;tvMiniSeries;Adventure, Drama, Western;8.7;26672;1989
200;tt0093603;Nayakan;movie;Crime, Drama;8.7;25428;1987
201;tt0086661;The Adventures of Sherlock Holmes;tvSeries;Crime, Drama, Mystery;8.7;24703;1984
202;tt10332508;Primal;tvSeries;Action, Adventure, Animation;8.7;22366;2019
203;tt0088178;Stop Making Sense;movie;Documentary, Music;8.7;21593;1984
204;tt28857177;Lucky Guy;tvSeries;Comedy, Drama, Fantasy;8.7;21476;2023
205;tt6025022;Justice League Unlimited;tvSeries;Action, Adventure, Animation;8.7;21318;2004
206;tt0252490;The Chaos Class Is Waking Up;movie;Comedy;8.7;21170;1976
207;tt20859920;Alchemy of Souls;tvSeries;Action, Drama, Fantasy;8.7;19671;2022
208;tt0253614;Saban, Son of Saban;movie;Comedy;8.7;18999;1977
209;tt8176054;Pariyerum Perumal;movie;Drama;8.7;18997;2018
210;tt0252597;Feyzo, the Polite One;movie;Comedy, Drama;8.7;17623;1978
211;tt6019206;Kill Bill: The Whole Bloody Affair;movie;Action, Crime, Thriller;8.7;17433;2006
212;tt0080306;Yes Minister;tvSeries;Comedy;8.7;16923;1980
213;tt0076276;Who's Singin' Over There?;movie;Adventure, Comedy, Drama;8.7;16904;1980
214;tt7738784;Peranbu;movie;Drama, Family;8.7;16839;2018
215;tt14888874;Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc;movie;Action, Animation, Fantasy;8.7;16807;2020
216;tt0201368;The Broken Landlord;movie;Comedy, Drama;8.7;16657;1985
217;tt0988818;Gintama;tvSeries;Action, Animation, Comedy;8.7;16336;2005
218;tt4063800;The Bureau;tvSeries;Drama, Thriller;8.7;14962;2015
219;tt0106028;Homicide: Life on the Street;tvSeries;Crime, Drama, Mystery;8.7;14955;1993
220;tt10801534;How to with John Wilson;tvSeries;Comedy, Documentary;8.7;14084;2020
221;tt17592606;Daman;movie;Adventure, Drama;8.7;13747;2022
222;tt0090509;The Return of Sherlock Holmes;tvSeries;Crime, Drama, Mystery;8.7;13668;1986
223;tt11007006;Azize;tvSeries;Drama;8.7;13489;2019
224;tt0229889;El Chavo del Ocho;tvSeries;Comedy, Family;8.7;13473;1972
225;tt0214915;Manichithrathazhu;movie;Comedy, Horror, Mystery;8.7;12889;1993
226;tt7621364;Black Pearl;tvSeries;Drama;8.7;12725;2017
227;tt8737152;Toma;movie;Biography, Drama, Music;8.7;12651;2021
228;tt6111552;Content Cop;tvSeries;Comedy, Crime, Talk-Show;8.7;12618;2015
229;tt0765833;Happy Days;movie;Comedy, Drama, Family;8.7;12147;1978
230;tt4269716;Umbre;tvSeries;Crime, Drama, Thriller;8.7;11666;2014
231;tt7094780;Mr. Sunshine;tvSeries;Action, Drama, Romance;8.7;10983;2018
232;tt0090015;Shoah;movie;Documentary, History, War;8.7;10772;1985
233;tt10554898;The Untamed;tvSeries;Action, Adventure, Drama;8.7;10553;2019
234;tt0114369;Se7en;movie;Crime, Drama, Mystery;8.6;1843979;1995
235;tt0102926;The Silence of the Lambs;movie;Crime, Drama, Thriller;8.6;1584263;1991
236;tt0120815;Saving Private Ryan;movie;Drama, War;8.6;1526792;1998
237;tt0076759;Star Wars: Episode IV - A New Hope;movie;Action, Adventure, Fantasy;8.6;1474885;1977
238;tt0120689;The Green Mile;movie;Crime, Drama, Fantasy;8.6;1439562;1999
239;tt0103064;Terminator 2: Judgment Day;movie;Action, Adventure, Sci-Fi;8.6;1198562;1991
240;tt0245429;Spirited Away;movie;Adventure, Animation, Family;8.6;874996;2001
241;tt0317248;City of God;movie;Crime, Drama;8.6;815973;2002
242;tt0773262;Dexter;tvSeries;Crime, Drama, Mystery;8.6;797952;2006
243;tt0118799;Life Is Beautiful;movie;Comedy, Drama, Romance;8.6;756758;1997
244;tt8111088;The Mandalorian;tvSeries;Action, Adventure, Fantasy;8.6;603931;2019
245;tt10811166;The Kashmir Files;movie;Drama;8.6;575266;2022
246;tt1856010;House of Cards;tvSeries;Drama;8.6;537501;2013
247;tt0038650;It's a Wonderful Life;movie;Drama, Family, Fantasy;8.6;507392;1946
248;tt3322312;Daredevil;tvSeries;Action, Crime, Drama;8.6;484189;2015
249;tt9362722;Spider-Man: Across the Spider-Verse;movie;Action, Adventure, Animation;8.6;408738;2023
250;tt0047478;Seven Samurai;movie;Action, Drama;8.6;373526;1954
251;tt5290382;Mindhunter;tvSeries;Crime, Drama, Mystery;8.6;350671;2017
252;tt1124373;Sons of Anarchy;tvSeries;Crime, Drama, Thriller;8.6;330863;2008
253;tt1266020;Parks and Recreation;tvSeries;Comedy;8.6;294742;2009
254;tt4786824;The Crown;tvSeries;Biography, Drama, History;8.6;263144;2016
255;tt0106179;The X-Files;tvSeries;Adventure, Crime, Drama;8.6;255657;1993
256;tt14452776;The Bear;tvSeries;Comedy, Drama;8.6;249723;2022
257;tt0979432;Boardwalk Empire;tvSeries;Crime, Drama;8.6;206468;2010
258;tt2788316;Shogun;tvSeries;Adventure, Drama, History;8.6;181629;2024
259;tt1486217;Archer;tvSeries;Action, Animation, Comedy;8.6;168479;2009
260;tt9335498;Demon Slayer: Kimetsu no Yaiba;tvSeries;Action, Adventure, Animation;8.6;167477;2019
261;tt0096657;Mr. Bean;tvSeries;Comedy, Family;8.6;137292;1990
262;tt1870479;The Newsroom;tvSeries;Drama;8.6;126953;2012
263;tt1489428;Justified;tvSeries;Action, Crime, Drama;8.6;121604;2010
264;tt0348914;Deadwood;tvSeries;Crime, Drama, History;8.6;120177;2004
265;tt1305826;Adventure Time;tvSeries;Action, Adventure, Animation;8.6;116940;2010
266;tt7908628;What We Do in the Shadows;tvSeries;Comedy, Fantasy, Horror;8.6;108258;2019
267;tt4288182;Atlanta;tvSeries;Comedy, Drama, Music;8.6;90845;2016
268;tt9174558;Dopesick;tvMiniSeries;Drama;8.6;82008;2021
269;tt1733785;The Bridge;tvSeries;Crime, Mystery, Thriller;8.6;78358;2011
270;tt0056058;Harakiri;movie;Action, Drama, Mystery;8.6;72503;1962
271;tt5421602;Anne with an E;tvSeries;Drama, Family;8.6;69557;2017
272;tt4299972;The Jinx: The Life and Deaths of Robert Durst;tvSeries;Biography, Crime, Documentary;8.6;54317;2015
273;tt0094525;Poirot;tvSeries;Crime, Drama, Mystery;8.6;53521;1989
274;tt0088484;Blackadder II;tvSeries;Comedy;8.6;50664;1986
275;tt5897304;Mob Psycho 100;tvSeries;Action, Animation, Comedy;8.6;49377;2016
276;tt0237123;Coupling;tvSeries;Comedy, Romance;8.6;48214;2000
277;tt0092324;Blackadder the Third;tvSeries;Comedy;8.6;47754;1987
278;tt2100976;Impractical Jokers;tvSeries;Comedy, Reality-TV;8.6;47032;2011
279;tt1641384;Young Justice;tvSeries;Action, Adventure, Animation;8.6;46658;2010
280;tt2049116;Gomorrah;tvSeries;Crime, Drama, Thriller;8.6;45529;2014
281;tt13111040;The Offer;tvMiniSeries;Biography, Crime, Drama;8.6;42433;2022
282;tt5288312;Skam;tvSeries;Drama, Romance;8.6;39558;2015
283;tt11854694;Special OPS;tvSeries;Action, Crime, Thriller;8.6;38119;2020
284;tt9140342;It's a Sin;tvMiniSeries;Comedy, Drama, History;8.6;37838;2021
285;tt12451520;It's Okay to Not Be Okay;tvSeries;Comedy, Drama, Romance;8.6;37310;2020
286;tt0053488;The Bugs Bunny Show;tvSeries;Animation, Comedy;8.6;36146;1960
287;tt0417349;North & South;tvMiniSeries;Drama, Romance;8.6;35589;2004
288;tt2701582;Endeavour;tvSeries;Crime, Drama, Mystery;8.6;34471;2012
289;tt0380136;QI;tvSeries;Comedy, Game-Show;8.6;34000;2003
290;tt7562112;Pose;tvSeries;Drama;8.6;33665;2018
291;tt1983079;Call the Midwife;tvSeries;Drama, History;8.6;32414;2012
292;tt4647692;Letterkenny;tvSeries;Comedy;8.6;30785;2016
293;tt5994364;Guardian: The Lonely and Great God;tvSeries;Comedy, Drama, Fantasy;8.6;30151;2016
294;tt20869502;Extraordinary Attorney Woo;tvSeries;Drama;8.6;29314;2022
295;tt0417373;The Venture Bros.;tvSeries;Action, Adventure, Animation;8.6;28554;2003
296;tt4156586;Permanent Roommates;tvSeries;Comedy, Romance;8.6;26500;2014
297;tt0094517;Mystery Science Theater 3000;tvSeries;Comedy, Sci-Fi;8.6;26142;1988
298;tt0367495;Anbe Sivam;movie;Adventure, Comedy, Drama;8.6;26031;2003
